time,actual_temp,actual_pressure,actual_humidity,actual_rain,pred24_temp,pred24_pressure,pred24_humidity,pred24_rain
2025-01-10 22:00:00,8.6,1026.7,92.0,0.0,8.392245,1024.3684,80.82887,0.1513058
2025-01-10 23:00:00,8.8,1026.8,91.0,0.0,8.202436,1024.4323,81.43689,0.1533528
2025-01-11 00:00:00,8.7,1026.7,90.0,0.0,8.218314,1024.4111,81.8354,0.1550952
2025-01-11 01:00:00,9.9,1026.4,85.0,0.0,7.8870564,1024.6295,82.437164,0.15444434
2025-01-11 02:00:00,8.6,1026.1,87.0,0.0,7.5948706,1024.5918,83.0022,0.15328582
2025-01-11 03:00:00,9.0,1025.9,87.0,0.0,7.47328,1024.4843,83.25726,0.15213712
2025-01-11 04:00:00,9.9,1025.5,85.0,0.0,7.103943,1024.3527,83.398544,0.14843988
2025-01-11 05:00:00,9.9,1025.1,89.0,0.1,6.6257257,1024.0886,83.33169,0.13951181
2025-01-11 06:00:00,10.6,1024.9,87.0,0.1,6.167493,1024.0416,83.254425,0.1291796
2025-01-11 07:00:00,10.6,1024.5,87.0,0.0,5.943749,1024.3258,82.96238,0.11855142
2025-01-11 08:00:00,10.8,1024.8,89.0,0.0,5.920642,1024.425,82.56223,0.1130972
2025-01-11 09:00:00,10.9,1024.8,90.0,0.2,5.928267,1024.5829,82.266426,0.10960939
2025-01-11 10:00:00,11.5,1025.6,88.0,0.1,5.955265,1025.1007,81.57681,0.10144509
2025-01-11 11:00:00,11.5,1026.0,88.0,0.1,7.059951,1025.7762,77.57109,0.08717885
2025-01-11 12:00:00,11.8,1026.4,84.0,0.0,9.652769,1026.0964,70.84475,0.092763506
2025-01-11 13:00:00,13.1,1026.1,67.0,0.0,11.01493,1025.805,69.666016,0.10411344
2025-01-11 14:00:00,14.3,1025.3,65.0,0.0,12.819804,1025.1515,67.72522,0.11660344
2025-01-11 15:00:00,14.6,1025.4,60.0,0.0,14.116229,1024.4612,66.19466,0.12754789
2025-01-11 16:00:00,14.5,1025.7,60.0,0.0,13.610506,1023.9859,69.69872,0.13901669
2025-01-11 17:00:00,13.3,1026.2,63.0,0.0,12.072474,1024.239,74.353325,0.1435359
2025-01-11 18:00:00,12.1,1026.6,69.0,0.0,11.035655,1024.1676,77.17039,0.15939628
2025-01-11 19:00:00,11.2,1026.8,74.0,0.0,9.728451,1023.9535,79.30299,0.17515607
2025-01-11 20:00:00,9.2,1027.6,85.0,0.0,9.082819,1023.19617,80.51589,0.18018356
2025-01-11 21:00:00,8.8,1028.3,87.0,0.0,8.780532,1023.0903,81.36596,0.17857766
2025-01-11 22:00:00,7.6,1029.1,90.0,0.0,8.638912,1023.10565,82.0195,0.18297261
2025-01-11 23:00:00,7.5,1029.4,91.0,0.0,8.366406,1023.3203,82.33391,0.17712669
2025-01-12 00:00:00,6.5,1029.3,92.0,0.0,8.219689,1023.7548,82.61916,0.17147624
2025-01-12 01:00:00,5.8,1029.5,87.0,0.0,8.103641,1024.0876,82.82547,0.16886008
2025-01-12 02:00:00,6.1,1028.9,78.0,0.0,8.488551,1024.0787,82.48094,0.16953959
2025-01-12 03:00:00,5.5,1029.5,72.0,0.0,8.22206,1024.064,82.826195,0.17366666
2025-01-12 04:00:00,5.3,1029.5,55.0,0.0,8.316228,1023.5201,82.85746,0.17469065
2025-01-12 05:00:00,5.3,1029.3,38.0,0.0,8.631023,1023.2356,82.694435,0.17891258
2025-01-12 06:00:00,4.8,1029.6,47.0,0.0,8.652387,1022.9839,82.69563,0.1815652
2025-01-12 07:00:00,4.1,1030.2,61.0,0.0,9.012323,1022.8457,81.12761,0.16932768
2025-01-12 08:00:00,3.7,1030.9,71.0,0.0,8.91084,1022.6752,81.311356,0.17290431
2025-01-12 09:00:00,3.5,1030.8,72.0,0.0,8.879408,1022.89514,81.20981,0.16709691
2025-01-12 10:00:00,5.7,1031.2,63.0,0.0,9.173045,1023.5877,79.57989,0.14955896
2025-01-12 11:00:00,8.1,1031.5,58.0,0.0,9.47235,1024.2488,78.00619,0.13663566
2025-01-12 12:00:00,9.8,1030.6,53.0,0.0,9.496869,1025.015,76.79598,0.12187098
2025-01-12 13:00:00,10.7,1029.7,50.0,0.0,9.827169,1025.5658,74.6451,0.112004116
2025-01-12 14:00:00,11.5,1029.1,50.0,0.0,12.639402,1025.3496,65.138565,0.10627421
2025-01-12 15:00:00,10.7,1029.3,55.0,0.0,13.571369,1024.4896,64.1546,0.11021604
2025-01-12 16:00:00,10.1,1029.4,54.0,0.0,14.043877,1024.3701,63.17118,0.10995822
2025-01-12 17:00:00,9.1,1029.8,56.0,0.0,13.46171,1024.7509,65.22852,0.1081378
2025-01-12 18:00:00,7.6,1030.3,62.0,0.0,11.874449,1025.3353,69.57788,0.104930215
2025-01-12 19:00:00,6.5,1030.4,64.0,0.0,10.049339,1026.0706,73.62447,0.10121795
2025-01-12 20:00:00,5.8,1030.6,65.0,0.0,9.222696,1026.3658,75.44595,0.10291418
2025-01-12 21:00:00,5.5,1030.4,58.0,0.0,8.595898,1026.3468,77.119316,0.1062356
2025-01-12 22:00:00,4.8,1030.3,47.0,0.0,8.547317,1025.9861,77.20432,0.10660327
2025-01-12 23:00:00,4.0,1030.1,40.0,0.0,8.26249,1026.0492,77.52705,0.1054463
2025-01-13 00:00:00,3.4,1030.0,37.0,0.0,8.267904,1026.0013,77.30105,0.10228597
2025-01-13 01:00:00,2.5,1029.3,40.0,0.0,7.935548,1026.2655,77.33471,0.096684106
2025-01-13 02:00:00,2.5,1027.9,45.0,0.0,7.748955,1026.803,76.25028,0.08591387
2025-01-13 03:00:00,1.8,1027.6,50.0,0.0,8.240487,1027.0602,73.65111,0.08033463
2025-01-13 04:00:00,1.1,1027.6,53.0,0.0,7.9455853,1027.8375,72.67593,0.07131889
2025-01-13 05:00:00,0.6,1027.5,55.0,0.0,8.931142,1028.4768,65.48714,0.05976918
2025-01-13 06:00:00,0.8,1027.1,48.0,0.0,9.953283,1028.3783,58.169796,0.05192193
2025-01-13 07:00:00,0.8,1026.9,43.0,0.0,7.8035345,1028.4514,63.66878,0.04525559
2025-01-13 08:00:00,0.5,1027.2,43.0,0.0,6.2129507,1029.1094,69.15651,0.042463403
2025-01-13 09:00:00,0.3,1027.8,44.0,0.0,5.291239,1029.4829,72.04533,0.039859634
2025-01-13 10:00:00,2.7,1028.6,41.0,0.0,5.077333,1029.251,72.77213,0.0395572
2025-01-13 11:00:00,6.2,1029.1,47.0,0.0,6.296358,1029.1324,67.48418,0.039088897
2025-01-13 12:00:00,8.8,1029.5,38.0,0.0,7.655978,1028.7372,61.631847,0.039133426
2025-01-13 13:00:00,9.8,1028.4,32.0,0.0,9.374028,1027.6522,55.476143,0.03874385
2025-01-13 14:00:00,10.9,1026.7,28.0,0.0,10.496367,1026.5763,52.894196,0.037395384
2025-01-13 15:00:00,10.4,1026.5,31.0,0.0,10.863674,1026.0297,53.668,0.03900863
2025-01-13 16:00:00,9.7,1026.7,35.0,0.0,9.630032,1026.2494,59.368656,0.041355163
2025-01-13 17:00:00,8.5,1027.0,41.0,0.0,8.791926,1026.7457,62.17227,0.04299778
2025-01-13 18:00:00,5.4,1028.1,49.0,0.0,7.5693274,1027.3833,67.40265,0.05095382
2025-01-13 19:00:00,2.7,1028.2,54.0,0.0,6.6225805,1027.9786,71.815544,0.052828185
2025-01-13 20:00:00,1.5,1028.5,56.0,0.0,6.272046,1028.2966,73.20533,0.051930685
2025-01-13 21:00:00,1.2,1028.8,58.0,0.0,5.9150553,1028.6166,74.43779,0.05059977
2025-01-13 22:00:00,0.8,1028.7,59.0,0.0,5.992283,1028.9904,73.756584,0.04839994
2025-01-13 23:00:00,-0.1,1029.0,62.0,0.0,6.1757383,1029.267,72.3369,0.04631987
2025-01-14 00:00:00,-1.0,1030.1,66.0,0.0,6.2070885,1029.4468,71.24222,0.044278953
2025-01-14 01:00:00,-0.3,1031.0,59.0,0.0,6.0548096,1029.4,70.03585,0.040888615
2025-01-14 02:00:00,0.1,1030.3,52.0,0.0,5.3486643,1028.9976,71.20562,0.038724568
2025-01-14 03:00:00,-0.3,1030.3,52.0,0.0,4.718339,1028.1542,73.00903,0.039200578
2025-01-14 04:00:00,-0.7,1030.8,49.0,0.0,3.929686,1027.46,75.76496,0.040049434
2025-01-14 05:00:00,-0.8,1031.5,41.0,0.0,3.491111,1026.8959,77.602936,0.04281807
2025-01-14 06:00:00,-0.8,1032.3,39.0,0.0,3.219022,1026.4238,79.0092,0.046363134
2025-01-14 07:00:00,-0.3,1032.5,36.0,0.0,3.356603,1025.928,78.96191,0.048382986
2025-01-14 08:00:00,-0.2,1032.7,31.0,0.0,3.3706753,1025.6451,79.06631,0.049782533
2025-01-14 09:00:00,-0.0,1032.8,35.0,0.0,3.2017846,1025.6072,79.2864,0.049200825
2025-01-14 10:00:00,2.9,1032.7,42.0,0.0,3.024284,1025.7485,79.1323,0.046495583
2025-01-14 11:00:00,5.1,1033.1,29.0,0.0,3.703098,1025.9921,74.75898,0.03884859
2025-01-14 12:00:00,6.6,1032.9,26.0,0.0,4.9598293,1025.9856,67.87436,0.03607676
2025-01-14 13:00:00,7.6,1031.8,26.0,0.0,7.9274845,1025.9905,53.89345,0.032366186
2025-01-14 14:00:00,8.8,1030.9,31.0,0.0,10.802858,1025.0101,45.54557,0.033567548
2025-01-14 15:00:00,8.8,1030.1,31.0,0.0,12.592044,1022.89276,42.515488,0.030268889
2025-01-14 16:00:00,8.9,1029.7,33.0,0.0,11.5653105,1021.98267,44.938503,0.03340761
2025-01-14 17:00:00,7.9,1029.7,51.0,0.0,9.344315,1022.2145,50.40678,0.035496842
2025-01-14 18:00:00,4.3,1029.9,49.0,0.0,7.4351826,1022.9647,58.602425,0.043293003
2025-01-14 19:00:00,3.1,1029.7,54.0,0.0,6.1005917,1024.4863,65.44334,0.046326566
2025-01-14 20:00:00,0.1,1029.4,71.0,0.0,5.2311864,1025.8862,68.95861,0.042550407
2025-01-14 21:00:00,-1.7,1029.3,78.0,0.0,4.6828938,1026.7908,71.78139,0.041306816
2025-01-14 22:00:00,-2.3,1029.3,79.0,0.0,4.365917,1027.1278,73.13437,0.040268637
2025-01-14 23:00:00,-1.6,1029.6,67.0,0.0,4.16138,1027.1642,73.8694,0.03966601
2025-01-15 00:00:00,-0.1,1029.7,51.0,0.0,3.811411,1027.2592,74.99688,0.038940743
2025-01-15 01:00:00,0.6,1029.3,42.0,0.0,3.4725938,1027.3846,74.854164,0.035433438
2025-01-15 02:00:00,0.5,1028.8,41.0,0.0,4.2341204,1027.4515,71.248764,0.033695012
2025-01-15 03:00:00,-0.1,1028.4,42.0,0.0,4.611969,1027.3865,69.7967,0.03390952
2025-01-15 04:00:00,-0.3,1028.2,40.0,0.0,4.643455,1027.5839,70.171814,0.0355657
2025-01-15 05:00:00,-0.2,1027.7,39.0,0.0,5.239873,1027.8143,66.568245,0.033519827
2025-01-15 06:00:00,-0.3,1027.3,39.0,0.0,5.841835,1028.1306,61.849724,0.029965071
2025-01-15 07:00:00,-0.7,1027.2,40.0,0.0,6.3584385,1028.4442,57.995483,0.02793036
2025-01-15 08:00:00,-1.0,1027.7,41.0,0.0,8.361584,1028.467,51.987183,0.029772447
2025-01-15 09:00:00,-0.7,1027.6,40.0,0.0,9.687508,1028.5891,47.833893,0.030344138
2025-01-15 10:00:00,2.4,1028.0,39.0,0.0,10.252941,1028.6746,45.528255,0.028528089
2025-01-15 11:00:00,6.4,1028.5,44.0,0.0,11.486294,1028.5667,42.27909,0.022564026
2025-01-15 12:00:00,8.8,1028.9,38.0,0.0,13.9190645,1028.3,36.793297,0.014788423
