time,actual_temp,actual_pressure,actual_humidity,actual_rain,pred24_temp,pred24_pressure,pred24_humidity,pred24_rain,pred48_temp,pred48_pressure,pred48_humidity,pred48_rain,pred72_temp,pred72_pressure,pred72_humidity,pred72_rain
2025-01-30 16:00:00,8.0,1021.5,43.0,0.0,14.040086,1012.66266,58.87267,0.13256198,21.138338,1015.8997,39.787,0.08008466,19.37763,1013.0825,63.036037,0.10591121
2025-01-30 17:00:00,7.2,1022.4,46.0,0.0,14.67517,1012.06134,58.40894,0.13548608,21.246119,1015.8101,40.07223,0.077485576,19.133102,1012.4108,63.03133,0.105913945
2025-01-30 18:00:00,6.0,1023.8,50.0,0.0,14.662364,1011.35834,59.775536,0.15318342,20.360638,1016.02045,44.18893,0.08542882,18.146666,1011.8678,65.082535,0.11113133
2025-01-30 19:00:00,4.3,1025.9,54.0,0.0,14.844008,1011.6807,60.802734,0.14760265,19.532667,1016.6602,48.66934,0.09195307,17.153883,1011.97546,67.1885,0.11390446
2025-01-30 20:00:00,3.3,1027.3,57.0,0.0,12.812376,1011.16766,66.84876,0.17926729,18.152966,1017.28046,53.43925,0.09697908,16.06381,1012.48676,69.87434,0.11853181
2025-01-30 21:00:00,2.4,1028.3,61.0,0.0,10.553779,1011.91425,72.387695,0.19017029,17.253616,1017.8235,56.56799,0.10020443,15.044872,1013.31177,71.981026,0.11759623
2025-01-30 22:00:00,1.9,1029.1,64.0,0.0,8.666147,1012.46234,76.43724,0.19777937,16.47068,1018.2816,59.102795,0.10370677,14.31148,1013.9536,74.2276,0.1202869
2025-01-30 23:00:00,1.8,1030.0,70.0,0.0,6.877116,1012.9003,79.73924,0.20579363,15.869591,1018.78534,60.8933,0.1076114,13.825232,1014.7415,75.04994,0.11356208
2025-01-31 00:00:00,1.9,1030.3,72.0,0.0,5.4951487,1013.2118,82.14756,0.21060973,15.025267,1019.10504,63.390762,0.11424831,13.335878,1015.4395,74.913475,0.10444852
2025-01-31 01:00:00,1.9,1030.3,71.0,0.0,4.7385445,1013.49744,82.2617,0.20126666,13.847326,1019.43506,66.269104,0.121185675,12.8001995,1015.7968,74.97731,0.101878434
2025-01-31 02:00:00,1.5,1030.8,65.0,0.0,5.32806,1013.64825,76.75955,0.16733414,12.935308,1019.7239,68.27536,0.12557262,12.126722,1016.0705,75.45179,0.10225917
2025-01-31 03:00:00,1.6,1030.9,66.0,0.0,4.8568254,1013.0026,76.52916,0.18089251,13.549263,1019.9491,66.89698,0.12168544,11.415623,1016.21277,76.11896,0.10382602
2025-01-31 04:00:00,1.1,1030.5,69.0,0.0,5.876032,1013.3351,70.44828,0.14274654,13.007961,1019.78906,68.83372,0.12961738,10.564302,1016.7047,77.3324,0.107045524
2025-01-31 05:00:00,1.0,1030.3,70.0,0.0,9.081728,1013.4521,59.919167,0.10118114,11.237202,1019.6506,72.67732,0.14759342,10.051455,1017.08014,78.60221,0.10798983
2025-01-31 06:00:00,0.8,1030.5,73.0,0.0,11.468561,1013.38354,52.326633,0.07993112,9.665789,1019.5987,75.392876,0.16268891,9.8299,1017.2704,79.30711,0.10837545
2025-01-31 07:00:00,0.5,1030.4,75.0,0.0,11.844256,1013.17865,50.156574,0.076042935,8.698511,1019.4408,76.96787,0.17245778,9.775217,1017.25916,79.08911,0.107300036
2025-01-31 08:00:00,0.1,1031.2,79.0,0.0,11.793327,1013.6136,49.541122,0.06972048,8.301546,1019.2115,77.34115,0.17854851,10.015942,1017.1054,77.15895,0.10128295
2025-01-31 09:00:00,0.7,1031.9,78.0,0.0,12.73637,1014.4876,46.681652,0.056262,7.763803,1019.0788,78.19394,0.19072223,10.227512,1017.00977,75.18334,0.096760556
2025-01-31 10:00:00,2.5,1032.2,72.0,0.0,13.015531,1015.25616,45.899227,0.049558297,8.373028,1018.95386,75.572,0.18428124,10.288141,1017.0053,73.78737,0.093256086
2025-01-31 11:00:00,4.4,1031.7,62.0,0.0,14.101108,1015.7104,43.762104,0.04368202,9.550701,1018.6459,71.466286,0.17867838,11.750771,1017.2516,68.64832,0.07865972
2025-01-31 12:00:00,6.1,1031.3,55.0,0.0,16.141367,1016.02386,40.078476,0.036165655,10.317547,1018.0899,69.22515,0.18661343,14.760769,1017.18286,59.97233,0.062431607
2025-01-31 13:00:00,7.2,1030.6,49.0,0.0,17.717402,1015.86035,36.34433,0.030302275,11.377796,1017.3802,66.08134,0.19021866,18.05533,1016.84766,50.908398,0.049794976
2025-01-31 14:00:00,8.1,1029.6,51.0,0.0,18.760902,1015.54846,33.303394,0.026528785,12.366255,1016.614,63.266174,0.19363321,19.646357,1016.33014,45.677296,0.04088882
2025-01-31 15:00:00,8.5,1028.7,50.0,0.0,19.677074,1015.3052,30.750385,0.02364225,13.645943,1015.8838,59.877663,0.19084239,20.668688,1015.905,42.286884,0.03660122
2025-01-31 16:00:00,8.3,1028.6,49.0,0.0,20.903812,1014.8742,27.979868,0.021228267,14.690004,1015.0628,57.95317,0.19486322,21.316751,1015.568,40.615578,0.034210898
2025-01-31 17:00:00,7.3,1028.9,53.0,0.0,22.035358,1014.36554,25.60911,0.01930764,15.297062,1014.4849,57.453022,0.19704255,21.382011,1015.365,41.03775,0.033966396
2025-01-31 18:00:00,5.7,1029.4,59.0,0.0,22.31292,1014.0834,24.886484,0.018701464,15.282679,1014.0339,58.618706,0.2112732,20.42748,1015.4719,45.1091,0.037714925
2025-01-31 19:00:00,3.5,1029.9,68.0,0.0,21.325905,1014.5239,27.056501,0.019224348,15.382841,1014.04926,59.7291,0.2087359,19.332598,1015.978,49.590897,0.041964747
2025-01-31 20:00:00,2.2,1029.9,72.0,0.0,19.034178,1016.24133,32.150192,0.020760918,13.352051,1013.7034,65.60765,0.23819762,17.812035,1016.60223,54.357292,0.04715067
2025-01-31 21:00:00,1.9,1029.3,73.0,0.0,16.838501,1018.3486,37.281445,0.02172597,11.084888,1014.2691,71.16752,0.25288022,16.83746,1017.06146,57.459175,0.049256947
2025-01-31 22:00:00,1.9,1029.1,73.0,0.0,15.049927,1020.09534,41.473278,0.021656018,9.211997,1014.7247,75.257454,0.26399606,16.013304,1017.4686,59.94668,0.051224593
2025-01-31 23:00:00,2.1,1029.2,72.0,0.0,13.028844,1021.22156,45.540104,0.022492453,7.4746447,1015.1379,78.55678,0.27434057,15.406719,1017.9532,61.656452,0.053049747
2025-02-01 00:00:00,2.1,1029.1,74.0,0.0,11.457796,1021.95795,49.42218,0.023923866,6.138437,1015.43317,80.98852,0.28114125,14.574377,1018.31287,64.026825,0.056117393
2025-02-01 01:00:00,2.2,1028.5,75.0,0.0,11.192432,1022.49774,50.471375,0.023314698,5.4254475,1015.6759,81.22388,0.27472892,13.421635,1018.7177,66.77903,0.05943724
2025-02-01 02:00:00,2.3,1027.5,73.0,0.0,11.485905,1022.74225,50.00296,0.022446778,6.108693,1015.8623,75.97395,0.24281117,12.531837,1019.0434,68.72016,0.061883043
2025-02-01 03:00:00,2.2,1027.1,74.0,0.0,12.014133,1022.91064,48.887115,0.021066368,5.7507725,1015.58887,75.59107,0.25324494,13.12505,1019.14,67.43709,0.060344484
2025-02-01 04:00:00,2.2,1026.6,73.0,0.0,12.218779,1022.97406,48.308872,0.020656392,6.828567,1015.82086,69.85032,0.21637319,12.599304,1019.1085,69.23097,0.063209824
2025-02-01 05:00:00,2.0,1026.4,74.0,0.0,11.115312,1022.9575,50.6248,0.022490174,10.025318,1015.8006,59.817265,0.17266645,10.962795,1019.27313,72.764496,0.07002198
2025-02-01 06:00:00,1.6,1026.6,76.0,0.0,10.662945,1022.9972,51.65199,0.023023859,12.432236,1015.67053,52.5512,0.14849077,9.529104,1019.41406,75.29919,0.075704426
2025-02-01 07:00:00,1.3,1026.8,77.0,0.0,10.1079235,1023.1786,53.12661,0.023622477,12.876989,1015.5303,50.43945,0.14322868,8.642324,1019.3255,76.82688,0.07921996
2025-02-01 08:00:00,1.1,1026.6,77.0,0.0,9.384776,1023.248,54.990185,0.024860376,12.839945,1015.7548,49.93686,0.13551466,8.3025875,1019.1406,77.18307,0.08092312
2025-02-01 09:00:00,1.6,1026.1,75.0,0.0,8.755792,1023.67926,56.962006,0.025133066,13.734304,1016.1706,47.345295,0.11881256,7.8531947,1019.18164,77.855225,0.0844982
2025-02-01 10:00:00,4.6,1025.6,66.0,0.0,10.217588,1023.99133,53.57188,0.022219786,13.9711075,1016.5495,46.721962,0.10996559,8.500044,1019.15,75.2357,0.081094526
2025-02-01 11:00:00,6.8,1025.4,63.0,0.0,14.239657,1023.8576,44.183945,0.016984943,14.910143,1016.7361,44.73122,0.10241016,9.7531185,1019.04346,71.041756,0.07701152
2025-02-01 12:00:00,7.8,1024.8,64.0,0.0,18.434544,1022.78094,36.20821,0.013827234,16.777462,1016.6989,41.19187,0.09355588,10.641228,1018.73596,68.57829,0.078377314
2025-02-01 13:00:00,8.3,1023.8,65.0,0.0,20.753849,1021.2598,31.125746,0.012589862,18.357914,1016.3749,37.48257,0.07887699,11.820688,1018.24133,65.28172,0.078479186
2025-02-01 14:00:00,8.7,1022.5,67.0,0.0,22.669024,1019.75745,26.906921,0.011805804,19.463926,1016.0183,34.449074,0.068492964,12.9163475,1017.64197,62.353363,0.07871913
2025-02-01 15:00:00,8.7,1021.5,68.0,0.0,24.055922,1018.5348,23.858284,0.011400806,20.42914,1015.72504,31.901419,0.060261935,14.264187,1017.008,58.93823,0.076943435
2025-02-01 16:00:00,9.1,1021.2,61.0,0.0,25.09147,1017.5965,21.71796,0.011004174,21.675045,1015.26965,29.109211,0.05254676,15.359022,1016.26105,56.94893,0.07770293
2025-02-01 17:00:00,8.9,1020.9,65.0,0.0,25.761219,1017.1274,20.518423,0.010491586,22.814104,1014.7385,26.723146,0.04634872,15.956402,1015.6429,56.456688,0.0783742
2025-02-01 18:00:00,8.1,1020.8,67.0,0.0,25.346268,1017.68414,21.860016,0.010025135,23.119936,1014.53735,26.034246,0.044613704,16.008793,1015.2313,57.47262,0.084599525
2025-02-01 19:00:00,6.0,1021.2,74.0,0.0,22.714516,1019.4072,27.732252,0.0109801935,22.149279,1014.95105,28.361683,0.04710612,15.984852,1015.11316,58.707832,0.08350798
2025-02-01 20:00:00,5.9,1021.2,73.0,0.0,18.837349,1021.42914,35.885998,0.013793717,19.856207,1016.40454,33.67826,0.054911993,14.01437,1014.7456,64.43253,0.0947967
2025-02-01 21:00:00,5.1,1021.4,72.0,0.0,15.646003,1022.6707,42.260483,0.016322311,17.623606,1018.0449,39.015347,0.06348325,11.720182,1015.2362,69.98915,0.100850396
2025-02-01 22:00:00,4.5,1021.4,74.0,0.0,12.675254,1022.90424,48.53593,0.019468397,15.819523,1019.29376,43.38152,0.06778985,9.847801,1015.65686,74.08501,0.1057372
2025-02-01 23:00:00,3.3,1021.7,79.0,0.0,11.124175,1022.8911,51.853996,0.021361958,13.742666,1020.0931,47.587135,0.06978121,8.147005,1016.09143,77.35297,0.10999951
2025-02-02 00:00:00,2.2,1021.9,84.0,0.0,10.729536,1022.92255,52.702984,0.021569224,12.063238,1020.73016,51.460545,0.07303686,6.832223,1016.38586,79.79209,0.113109894
2025-02-02 01:00:00,1.3,1021.8,88.0,0.0,10.220059,1022.93286,53.748978,0.022519141,11.729427,1021.0828,52.548,0.07186947,6.124593,1016.614,80.12749,0.110524885
2025-02-02 02:00:00,0.9,1021.3,87.0,0.0,10.037728,1022.76447,53.982227,0.023412008,11.99575,1021.22644,52.108902,0.07011621,6.8434305,1016.8986,75.065735,0.09702393
2025-02-02 03:00:00,0.2,1021.4,90.0,0.0,10.21262,1022.321,53.204754,0.024085592,12.499378,1021.2748,51.072292,0.06779495,6.6141505,1016.75287,74.54933,0.09915283
2025-02-02 04:00:00,-0.3,1021.4,91.0,0.0,9.702207,1021.8915,54.157314,0.026111292,12.69813,1021.32574,50.527176,0.06724537,7.7009454,1016.9932,69.073425,0.08598064
2025-02-02 05:00:00,-0.8,1021.1,93.0,0.0,9.619949,1021.5197,54.135906,0.027057197,11.573574,1021.4279,52.794857,0.071085006,10.876764,1016.8782,59.4131,0.06956591
2025-02-02 06:00:00,-1.1,1021.0,94.0,0.0,9.161512,1021.2508,55.123856,0.028573249,11.09631,1021.4819,53.820568,0.072242126,13.290056,1016.66547,52.37704,0.06051918
2025-02-02 07:00:00,-1.3,1020.7,95.0,0.0,8.360989,1021.2104,57.09668,0.030429995,10.541504,1021.61676,55.264515,0.073715836,13.789373,1016.497,50.309265,0.058723032
2025-02-02 08:00:00,-0.9,1020.9,95.0,0.0,7.908229,1021.36017,58.33482,0.030918878,9.8439865,1021.6902,57.052597,0.07623971,13.73074,1016.6043,49.92649,0.05661067
2025-02-02 09:00:00,-0.6,1021.3,94.0,0.0,7.546709,1021.3302,59.183292,0.031677555,9.211225,1021.9662,58.993946,0.077167794,14.531685,1016.8306,47.567677,0.05109427
2025-02-02 10:00:00,3.5,1021.5,86.0,0.0,8.284031,1021.1704,57.19236,0.030168619,10.615995,1022.1706,55.73612,0.071373895,14.699387,1017.01013,47.094883,0.048233114
2025-02-02 11:00:00,6.4,1021.2,73.0,0.0,13.59053,1020.6929,44.57744,0.020622618,14.644556,1021.90344,46.56518,0.05987921,15.5700245,1016.9947,45.187298,0.04359438
2025-02-02 12:00:00,8.3,1020.5,60.0,0.0,17.347729,1019.69,37.496605,0.016651088,18.858864,1021.007,38.4752,0.051336933,17.284536,1016.6488,41.610355,0.035506085
2025-02-02 13:00:00,9.6,1019.6,51.0,0.0,19.250286,1018.5634,33.291584,0.015396987,21.2068,1019.7329,33.254566,0.04255142,18.756586,1016.2749,37.966045,0.030441308
2025-02-02 14:00:00,8.6,1019.6,51.0,0.0,20.518438,1017.5453,30.446896,0.0149707515,23.15743,1018.49335,28.888428,0.036284875,19.8017,1015.8815,34.963303,0.026826795
