Time,Angular velocity
8.36667,0.253775
8.38333,0.256991
8.4,0.264445
8.41667,0.26654
8.43333,0.255326
8.45,0.242297
8.46667,0.22682
8.48333,0.223771
8.5,0.227001
8.51667,0.226179
8.53333,0.224912
8.55,0.224802
8.56667,0.219918
8.58333,0.213119
8.6,0.206755
8.61667,0.206925
8.63333,0.202773
8.65,0.203437
8.66667,0.204105
8.68333,0.204501
8.7,0.199232
8.71667,0.19355
8.73333,0.200362
8.75,0.195395
8.76667,0.190955
8.78333,0.193238
8.8,0.200869
8.81667,0.200366
8.83333,0.199244
8.85,0.206626
8.86667,0.215432
8.88333,0.217006
8.9,0.220406
8.91667,0.216819
8.93333,0.226038
8.95,0.23531
8.96667,0.241516
8.98333,0.244877
9,0.246982
9.01667,0.24863
9.03333,0.258909
9.05,0.25865
9.06667,0.254982
9.08333,0.254342
9.1,0.256623
9.11667,0.255439
9.13333,0.244061
9.15,0.236549
9.16667,0.241078
9.18333,0.267192
9.2,0.282183
9.21667,0.290118
9.23333,0.285172
9.25,0.285975
9.26667,0.286601
9.28333,0.28659
9.3,0.289661
9.31667,0.300663
9.33333,0.304364
9.35,0.305857
9.36667,0.305452
9.38333,0.303781
9.4,0.306392
9.41667,0.313165
9.43333,0.314853
9.45,0.318371
9.46667,0.313014
9.48333,0.310572
9.5,0.30785
9.51667,0.307942
9.53333,0.313423
9.55,0.325405
9.56667,0.334139
9.58333,0.324779
9.6,0.317473
9.61667,0.315068
9.63333,0.31988
9.65,0.325471
9.66667,0.337901
9.68333,0.345841
9.7,0.36246
9.71667,0.366521
9.73333,0.36741
9.75,0.3794
9.76667,0.398017
9.78333,0.401238
9.8,0.403153
9.81667,0.413495
9.83333,0.417646
9.85,0.420704
9.86667,0.424145
9.88333,0.423999
9.9,0.402404
9.91667,0.424063
9.93333,0.430879
9.95,0.435296
9.96667,0.436091
9.98333,0.437496
10,0.441027
10.0167,0.445563
10.0333,0.44399
10.05,0.436629
10.0667,0.441786
10.0833,0.448672
10.1,0.455848
10.1167,0.415142
10.1333,0.424391
10.15,0.446373
10.1667,0.460707
10.1833,0.446651
10.2,0.445306
10.2167,0.446762
10.2333,0.431317
10.25,0.429313
10.2667,0.400937
10.2833,0.402777
10.3,0.426372
10.3167,0.424377
10.3333,0.402243
10.35,0.397216
10.3667,0.396448
10.3833,0.39765
10.4,0.408483
10.4167,0.448639
10.4333,0.468574
10.45,0.467339
10.4667,0.463387
10.4833,0.46149
10.5,0.474997
10.5167,0.501509
10.5333,0.528466
10.55,0.52109
10.5667,0.515205
10.5833,0.551494
10.6,0.564118
10.6167,0.56185
10.6333,0.559261
10.65,0.562643
10.6667,0.561953
10.6833,0.559826
10.7,0.558112
10.7167,0.556688
10.7333,0.554815
10.75,0.563006
10.7667,0.603697
10.7833,0.645511
10.8,0.662465
10.8167,0.659841
10.8333,0.655805
10.85,0.665105
10.8667,0.683056
10.8833,0.680034
10.9,0.628528
10.9167,0.637519
10.9333,0.627882
10.95,0.630105
10.9667,0.640157
10.9833,0.639441
11,0.645668
11.0167,0.648593
11.0333,0.642975
11.05,0.645423
11.0667,0.614727
11.0833,0.612653
11.1,0.608483
11.1167,0.613973
11.1333,0.610825
11.15,0.611965
11.1667,0.600559
11.1833,0.594527
11.2,0.592772
11.2167,0.585413
11.2333,0.583853
11.25,0.581368
11.2667,0.563484
11.2833,0.562718
11.3,0.555729
11.3167,0.549207
11.3333,0.544655
11.35,0.535968
11.3667,0.532114
11.3833,0.527093
11.4,0.522928
11.4167,0.519227
11.4333,0.515471
11.45,0.511545
11.4667,0.507027
11.4833,0.488146
11.5,0.482022
11.5167,0.48093
11.5333,0.478552
11.55,0.466954
11.5667,0.471402
11.5833,0.469514
11.6,0.465356
11.6167,0.51056
11.6333,0.508152
11.65,0.48593
11.6667,0.470156
11.6833,0.460739
11.7,0.45269
11.7167,0.446531
11.7333,0.473141
11.75,0.47235
11.7667,0.4664
11.7833,0.459903
11.8,0.453358
11.8167,0.470705
11.8333,0.479356
11.85,0.471625
11.8667,0.481276
11.8833,0.475446
11.9,0.480806
11.9167,0.477573
11.9333,0.465873
11.95,0.475281
11.9667,0.494251
11.9833,0.51417
12,0.507395
12.0167,0.492496
12.0333,0.477131
12.05,0.504821
12.0667,0.50126
12.0833,0.503602
12.1,0.505672
12.1167,0.511367
12.1333,0.513582
12.15,0.515379
12.1667,0.504411
12.1833,0.498409
12.2,0.488246
12.2167,0.488736
12.2333,0.489474
12.25,0.500157
12.2667,0.504948
12.2833,0.504488
12.3,0.503388
12.3167,0.497653
12.3333,0.497824
12.35,0.497016
12.3667,0.474396
12.3833,0.471947
12.4,0.458242
12.4167,0.456236
12.4333,0.454015
12.45,0.450736
12.4667,0.442484
12.4833,0.441953
12.5,0.4437
12.5167,0.443367
12.5333,0.44533
12.55,0.445106
12.5667,0.444109
12.5833,0.442583
12.6,0.432653
12.6167,0.431102
12.6333,0.396248
12.65,0.384944
12.6667,0.35982
12.6833,0.349122
12.7,0.35293
12.7167,0.358263
12.7333,0.357447
12.75,0.359184
12.7667,0.358781
12.7833,0.358054
12.8,0.356524
12.8167,0.352904
12.8333,0.346008
12.85,0.359529
12.8667,0.374784
12.8833,0.374456
12.9,0.367061
12.9167,0.370869
12.9333,0.370305
12.95,0.361528
12.9667,0.327233
12.9833,0.272084
13,0.274212
13.0167,0.277444
13.0333,0.285582
13.05,0.291039
13.0667,0.297002
13.0833,0.308626
13.1,0.310691
13.1167,0.313721
13.1333,0.307556
13.15,0.330046
13.1667,0.34249
13.1833,0.348888
13.2,0.352259
13.2167,0.354164
13.2333,0.323889
13.25,0.323507
13.2667,0.323383
13.2833,0.317723
13.3,0.312165
13.3167,0.308983
13.3333,0.314654
13.35,0.322246
13.3667,0.325576
13.3833,0.325924
13.4,0.327067
13.4167,0.343808
13.4333,0.362238
13.45,0.372886
13.4667,0.374465
13.4833,0.376495
13.5,0.371773
13.5167,0.367347
13.5333,0.356969
13.55,0.3531
13.5667,0.353559
13.5833,0.352282
13.6,0.355596
13.6167,0.360833
13.6333,0.370147
13.65,0.380545
13.6667,0.394801
13.6833,0.435654
13.7,0.435355
13.7167,0.434646
13.7333,0.420857
13.75,0.410057
13.7667,0.409688
13.7833,0.413843
13.8,0.414813
13.8167,0.377482
13.8333,0.370572
13.85,0.363697
13.8667,0.36233
13.8833,0.362912
13.9,0.357923
13.9167,0.380943
13.9333,0.378589
13.95,0.370567
13.9667,0.368097
13.9833,0.371559
14,0.378848
14.0167,0.426543
14.0333,0.43411
14.05,0.369826
14.0667,0.36631
14.0833,0.367881
14.1,0.384132
14.1167,0.392408
14.1333,0.390117
14.15,0.384781
14.1667,0.386151
14.1833,0.391931
14.2,0.386369
14.2167,0.390579
14.2333,0.395052
14.25,0.40475
14.2667,0.414414
14.2833,0.405771
14.3,0.408088
14.3167,0.411404
14.3333,0.418298
14.35,0.426954
14.3667,0.422464
14.3833,0.416929
14.4,0.40994
14.4167,0.425126
14.4333,0.395155
14.45,0.423031
14.4667,0.456028
14.4833,0.447267
14.5,0.453351
14.5167,0.450754
14.5333,0.438657
14.55,0.432187
14.5667,0.430244
14.5833,0.431124
14.6,0.424688
14.6167,0.424442
14.6333,0.407203
14.65,0.404383
14.6667,0.37785
14.6833,0.372605
14.7,0.36789
14.7167,0.361874
14.7333,0.360946
14.75,0.346269
14.7667,0.34362
14.7833,0.335921
14.8,0.34526
14.8167,0.341962
14.8333,0.337829
14.85,0.351855
14.8667,0.349977
14.8833,0.338673
14.9,0.319358
14.9167,0.315325
14.9333,0.31491
14.95,0.264418
14.9667,0.261344
14.9833,0.253504
15,0.25328
15.0167,0.239812
15.0333,0.23461
15.05,0.228514
15.0667,0.228962
15.0833,0.213483
15.1,0.211537
15.1167,0.201401
15.1333,0.212732
15.15,0.213149
15.1667,0.219352
15.1833,0.258187
15.2,0.25665
15.2167,0.252843
15.2333,0.254032
15.25,0.246465
15.2667,0.240112
15.2833,0.23358
15.3,0.272336
15.3167,0.264103
15.3333,0.261971
15.35,0.261628
15.3667,0.262467
15.3833,0.264124
15.4,0.263476
15.4167,0.266623
15.4333,0.274893
15.45,0.277915
15.4667,0.277736
15.4833,0.255421
15.5,0.249475
15.5167,0.24882
15.5333,0.227005
15.55,0.248618
15.5667,0.263795
15.5833,0.259758
15.6,0.254213
15.6167,0.2675
15.6333,0.263668
15.65,0.265919
15.6667,0.26863
15.6833,0.273016
15.7,0.275555
15.7167,0.282064
15.7333,0.278293
15.75,0.278422
15.7667,0.275332
15.7833,0.276258
15.8,0.268798
15.8167,0.26975
15.8333,0.270457
15.85,0.272882
15.8667,0.275768
15.8833,0.280019
15.9,0.281556
15.9167,0.267404
15.9333,0.247216
15.95,0.232278
15.9667,0.234569
15.9833,0.238056
16,0.2416
16.0167,0.240449
16.0333,0.239306
16.05,0.237357
16.0667,0.240531
16.0833,0.245761
16.1,0.246241
16.1167,0.245126
16.1333,0.247614
16.15,0.253862
16.1667,0.263183
16.1833,0.268897
16.2,0.265421
16.2167,0.26724
16.2333,0.269855
16.25,0.263875
16.2667,0.261159
16.2833,0.262381
16.3,0.255913
16.3167,0.256097
16.3333,0.263184
16.35,0.267843
16.3667,0.268534
16.3833,0.267429
16.4,0.271147
16.4167,0.275452
16.4333,0.274681
16.45,0.271889
16.4667,0.271745
16.4833,0.272977
16.5,0.274921
16.5167,0.276252
16.5333,0.273349
16.55,0.273603
16.5667,0.278719
16.5833,0.282961
16.6,0.28459
16.6167,0.273269
16.6333,0.268614
16.65,0.268917
16.6667,0.270664
16.6833,0.271187
16.7,0.270114
16.7167,0.269031
16.7333,0.264692
16.75,0.271626
16.7667,0.273031
16.7833,0.274882
16.8,0.273859
16.8167,0.276168
16.8333,0.279987
16.85,0.277693
16.8667,0.266911
16.8833,0.265874
16.9,0.26586
16.9167,0.263947
16.9333,0.257288
16.95,0.265547
16.9667,0.272678
16.9833,0.272963
17,0.285084
17.0167,0.299437
17.0333,0.312321
17.05,0.320535
17.0667,0.318349
17.0833,0.317206
17.1,0.318199
17.1167,0.314847
17.1333,0.318805
17.15,0.329048
17.1667,0.325581
17.1833,0.324898
17.2,0.325422
17.2167,0.330096
17.2333,0.330459
17.25,0.330049
17.2667,0.341876
17.2833,0.35093
17.3,0.360567
17.3167,0.378793
17.3333,0.380657
17.35,0.384531
17.3667,0.387788
17.3833,0.383689
17.4,0.382879
17.4167,0.385334
17.4333,0.380901
17.45,0.38797
17.4667,0.394165
17.4833,0.394043
17.5,0.397429
17.5167,0.395348
17.5333,0.395467
17.55,0.38747
17.5667,0.385738
17.5833,0.387636
17.6,0.393973
17.6167,0.398412
17.6333,0.402146
17.65,0.407937
17.6667,0.411175
17.6833,0.406869
17.7,0.411617
17.7167,0.420907
17.7333,0.422709
17.75,0.418827
17.7667,0.419234
17.7833,0.418861
17.8,0.421306
17.8167,0.435032
17.8333,0.434577
17.85,0.438388
17.8667,0.44368
17.8833,0.446735
17.9,0.44418
17.9167,0.437026
17.9333,0.429244
17.95,0.421734
17.9667,0.420173
17.9833,0.425336
18,0.425459
18.0167,0.42155
18.0333,0.423794
18.05,0.439866
18.0667,0.455325
18.0833,0.460123
18.1,0.463663
18.1167,0.470184
18.1333,0.427191
18.15,0.42341
18.1667,0.432313
18.1833,0.442374
18.2,0.424678
18.2167,0.42603
18.2333,0.42418
18.25,0.446654
18.2667,0.455452
18.2833,0.465007
18.3,0.47124
18.3167,0.479003
18.3333,0.479675
18.35,0.47589
18.3667,0.478239
18.3833,0.502762
18.4,0.538217
18.4167,0.547008
18.4333,0.581465
18.45,0.588596
18.4667,0.58208
18.4833,0.584952
18.5,0.587227
18.5167,0.599936
18.5333,0.629359
18.55,0.623582
18.5667,0.611498
18.5833,0.606876
18.6,0.600609
18.6167,0.594944
18.6333,0.59624
18.65,0.599253
18.6667,0.596063
18.6833,0.603682
18.7,0.610734
18.7167,0.649564
18.7333,0.671784
18.75,0.66843
18.7667,0.649741
18.7833,0.655613
18.8,0.666713
18.8167,0.662213
18.8333,0.656473
18.85,0.659538
18.8667,0.618989
18.8833,0.628952
18.9,0.645874
18.9167,0.65622
18.9333,0.636265
18.95,0.631849
18.9667,0.633465
18.9833,0.629209
19,0.625752
19.0167,0.61961
19.0333,0.594046
19.05,0.597733
19.0667,0.582807
19.0833,0.582464
19.1,0.575868
19.1167,0.569347
19.1333,0.58038
19.15,0.571622
19.1667,0.552711
19.1833,0.549642
19.2,0.545911
19.2167,0.539338
19.2333,0.53242
19.25,0.505998
19.2667,0.492765
19.2833,0.486145
19.3,0.479842
19.3167,0.472946
19.3333,0.462851
19.35,0.46905
19.3667,0.458676
19.3833,0.460329
19.4,0.44416
19.4167,0.436523
19.4333,0.432007
19.45,0.403562
19.4667,0.382661
19.4833,0.383423
19.5,0.378886
19.5167,0.37346
19.5333,0.364833
19.55,0.371822
19.5667,0.366516
19.5833,0.329159
19.6,0.35572
19.6167,0.345478
19.6333,0.337357
19.65,0.331321
19.6667,0.326826
19.6833,0.318522
19.7,0.350231
19.7167,0.344513
19.7333,0.335902
19.75,0.334545
19.7667,0.345171
19.7833,0.339121
19.8,0.342558
19.8167,0.337783
19.8333,0.34816
19.85,0.349901
19.8667,0.354048
19.8833,0.356519
19.9,0.356996
19.9167,0.356177
19.9333,0.348849
19.95,0.368669
19.9667,0.358992
19.9833,0.35823
20,0.366766
20.0167,0.352506
20.0333,0.349359
20.05,0.361687
20.0667,0.357951
20.0833,0.342213
20.1,0.354577
20.1167,0.358372
20.1333,0.373317
20.15,0.381858
20.1667,0.390944
20.1833,0.39163
20.2,0.391762
20.2167,0.384767
20.2333,0.379868
20.25,0.36363
20.2667,0.366457
20.2833,0.372245
20.3,0.371367
20.3167,0.366149
20.3333,0.366281
20.35,0.363459
20.3667,0.361765
20.3833,0.364851
20.4,0.367118
20.4167,0.376532
20.4333,0.38297
20.45,0.389122
20.4667,0.385629
20.4833,0.384975
20.5,0.387272
20.5167,0.390386
20.5333,0.394935
20.55,0.391086
20.5667,0.389676
20.5833,0.385719
20.6,0.383103
20.6167,0.377323
20.6333,0.380746
20.65,0.383652
20.6667,0.387146
20.6833,0.392075
20.7,0.39507
20.7167,0.397746
20.7333,0.402137
20.75,0.408571
20.7667,0.406315
20.7833,0.405203
20.8,0.394154
20.8167,0.394618
20.8333,0.399275
20.85,0.404147
20.8667,0.40272
20.8833,0.400203
20.9,0.399203
20.9167,0.401048
20.9333,0.402488
20.95,0.409846
20.9667,0.414649
20.9833,0.424823
21,0.429331
21.0167,0.430432
21.0333,0.433254
21.05,0.439753
21.0667,0.443025
21.0833,0.44488
21.1,0.447425
21.1167,0.443834
21.1333,0.442824
21.15,0.444383
21.1667,0.45346
21.1833,0.461131
21.2,0.464235
21.2167,0.463638
21.2333,0.463448
21.25,0.457146
21.2667,0.448956
21.2833,0.451111
21.3,0.461206
21.3167,0.46756
21.3333,0.465721
21.35,0.467244
21.3667,0.479926
21.3833,0.481621
21.4,0.482434
21.4167,0.481686
21.4333,0.483014
21.45,0.485656
21.4667,0.486843
21.4833,0.484263
21.5,0.485458
21.5167,0.496021
21.5333,0.497463
21.55,0.495779
21.5667,0.49648
21.5833,0.50108
21.6,0.502345
21.6167,0.508602
21.6333,0.513581
21.65,0.512388
21.6667,0.517913
21.6833,0.522729
21.7,0.538271
21.7167,0.544573
21.7333,0.540773
21.75,0.534002
21.7667,0.534902
21.7833,0.548075
21.8,0.55117
21.8167,0.55185
21.8333,0.555954
21.85,0.552856
21.8667,0.532633
21.8833,0.521499
21.9,0.518616
21.9167,0.515959
21.9333,0.508241
21.95,0.505381
21.9667,0.499387
21.9833,0.522575
22,0.532666
22.0167,0.531887
22.0333,0.474785
22.05,0.492327
22.0667,0.511065
22.0833,0.518216
22.1,0.544406
22.1167,0.564846
22.1333,0.571065
22.15,0.576522
22.1667,0.573189
22.1833,0.572041
22.2,0.572476
22.2167,0.5891
22.2333,0.609188
22.25,0.604796
22.2667,0.616642
22.2833,0.644982
22.3,0.648116
22.3167,0.644497
22.3333,0.638346
22.35,0.641199
22.3667,0.594456
22.3833,0.599077
22.4,0.593337
22.4167,0.585445
22.4333,0.576133
22.45,0.597681
22.4667,0.592685
22.4833,0.596273
22.5,0.569463
22.5167,0.571553
22.5333,0.567005
22.55,0.565622
22.5667,0.559013
22.5833,0.54993
22.6,0.548675
22.6167,0.529828
22.6333,0.525075
22.65,0.526125
22.6667,0.519902
22.6833,0.515129
22.7,0.514934
22.7167,0.497971
22.7333,0.498062
22.75,0.493448
22.7667,0.487745
22.7833,0.484805
22.8,0.476955
22.8167,0.482714
22.8333,0.468563
22.85,0.466898
22.8667,0.438832
22.8833,0.438863
22.9,0.426773
22.9167,0.422311
22.9333,0.414378
22.95,0.418972
22.9667,0.414044
22.9833,0.4132
23,0.409277
23.0167,0.422267
23.0333,0.417861
23.05,0.416058
23.0667,0.454709
23.0833,0.447053
23.1,0.441904
23.1167,0.434684
23.1333,0.426616
23.15,0.420482
23.1667,0.406346
23.1833,0.42988
23.2,0.424292
23.2167,0.420871
23.2333,0.415203
23.25,0.392748
23.2667,0.414958
23.2833,0.407087
23.3,0.40941
23.3167,0.41752
23.3333,0.413423
23.35,0.420836
23.3667,0.432551
23.3833,0.446381
23.4,0.440437
23.4167,0.447588
23.4333,0.447815
23.45,0.449766
23.4667,0.451804
23.4833,0.454065
23.5,0.455085
23.5167,0.466445
23.5333,0.453157
23.55,0.456282
23.5667,0.462087
23.5833,0.462452
23.6,0.463773
23.6167,0.462398
23.6333,0.461392
23.65,0.453292
23.6667,0.446068
