time,temp_real,hum_real,rain_real,pres_real,wind_real,temp_pred_24,hum_pred_24,rain_pred_24,pres_pred_24,wind_pred_24,temp_pred_48,hum_pred_48,rain_pred_48,pres_pred_48,wind_pred_48,temp_pred_72,hum_pred_72,rain_pred_72,pres_pred_72,wind_pred_72
2025-02-05 16:00:00,12.5,41.0,0.0,1031.0,5.8,-0.47359827,-0.2781872,-0.15810938,1.4870751,-0.34222895,-0.4792427,-0.2500689,-0.005135173,0.7116195,0.25198272,-0.59822714,0.009156956,0.120345965,0.13360634,0.4549479
2025-02-05 17:00:00,11.9,45.0,0.0,1030.8,5.1,-0.4259746,-0.3103791,-0.17329477,1.429033,-0.37454906,-0.42929485,-0.2906294,-0.009112848,0.5921496,0.27269575,-0.6956208,0.17571992,0.11590915,0.10244181,0.3888246
2025-02-05 18:00:00,9.4,65.0,0.0,1031.1,2.7,-0.46007818,-0.26901934,-0.19803998,1.4681952,-0.4707645,-0.48300153,-0.21961085,-0.021303995,0.56021464,0.1991793,-0.7845745,0.30915117,0.09053573,0.15086567,0.29322645
2025-02-05 19:00:00,6.0,73.0,0.0,1031.8,6.7,-0.66300064,0.021289434,-0.21475099,1.5612403,-0.6124728,-0.7285997,0.20026708,-0.019232346,0.63325727,-0.085928254,-0.9195106,0.50897443,0.067557834,0.19368058,0.17241432
2025-02-05 20:00:00,4.0,77.0,0.0,1031.9,14.5,-0.84642684,0.13896364,-0.23542446,1.7398434,-0.60578126,-0.8443412,0.2995092,-0.04600082,0.73413634,-0.2137108,-1.008185,0.6536424,0.03939394,0.26730296,0.059580766
2025-02-05 21:00:00,3.4,75.0,0.0,1031.7,14.3,-1.0363237,0.3057087,-0.24723776,1.8932678,-0.530591,-1.0182711,0.51661026,-0.065895595,0.7831222,-0.19589885,-1.0976493,0.78600043,0.022462897,0.37585387,-0.052736297
2025-02-05 22:00:00,3.2,75.0,0.0,1032.0,13.4,-1.1489428,0.36569422,-0.24531837,1.9896244,-0.48948362,-1.1066023,0.5652653,-0.09588815,0.8761996,-0.18074642,-1.1488061,0.821193,-0.0009680472,0.43903834,-0.06498204
2025-02-05 23:00:00,2.9,77.0,0.0,1032.4,14.8,-1.1948398,0.38596392,-0.23462637,2.0201762,-0.4638511,-1.2120432,0.7003982,-0.08147058,0.9144398,-0.17836474,-1.1720748,0.8506615,-0.013331638,0.50587773,-0.08636442
2025-02-06 00:00:00,2.5,79.0,0.0,1032.6,15.2,-1.2405753,0.37316942,-0.2427485,2.0750108,-0.46084538,-1.2411703,0.7068757,-0.087399766,0.97211444,-0.20416294,-1.1938418,0.8647249,-0.032194886,0.5652509,-0.08451697
2025-02-06 01:00:00,1.8,80.0,0.0,1032.0,9.2,-1.2775986,0.40344363,-0.24221785,2.0930622,-0.42813423,-1.2918795,0.79473686,-0.079238355,0.9852743,-0.1985952,-1.2266673,0.9132837,-0.03456895,0.61721355,-0.050805748
2025-02-06 02:00:00,1.3,83.0,0.0,1031.5,5.8,-1.3130398,0.4219423,-0.24215499,2.1018584,-0.4248273,-1.2939359,0.783593,-0.0794532,1.0307971,-0.21396457,-1.237732,0.8991109,-0.04801258,0.7042391,-0.030325888
2025-02-06 03:00:00,2.3,74.0,0.0,1031.5,2.8,-1.360011,0.5035822,-0.2415696,2.114226,-0.44405672,-1.258648,0.7542008,-0.080717586,1.1384622,-0.28435785,-1.2183827,0.86855817,-0.049745776,0.7443288,-0.026807098
2025-02-06 04:00:00,2.4,70.0,0.0,1031.2,3.2,-1.42146,0.57692856,-0.24584784,2.1325943,-0.42512435,-1.2727051,0.7544986,-0.087753214,1.1510824,-0.31213632,-1.2292607,0.8516971,-0.058327112,0.748415,-0.022034256
2025-02-06 05:00:00,2.5,66.0,0.0,1030.6,3.1,-1.43874,0.5938003,-0.256454,2.1424086,-0.40232584,-1.2546885,0.7037507,-0.10902521,1.194749,-0.34064445,-1.242206,0.8721888,-0.06648375,0.78348124,-0.10291691
2025-02-06 06:00:00,2.3,63.0,0.0,1030.4,2.2,-1.4390794,0.59093237,-0.26520658,2.1337376,-0.40542454,-1.2102228,0.63859504,-0.123516336,1.2468591,-0.42839566,-1.2397212,0.84681404,-0.07423527,0.7745935,-0.13854533
2025-02-06 07:00:00,3.1,58.0,0.0,1030.2,2.1,-1.4070237,0.58304346,-0.2720431,2.137355,-0.45362392,-1.1494693,0.55901444,-0.13157302,1.3606052,-0.5053383,-1.2332269,0.84054035,-0.06860425,0.7593449,-0.15834343
2025-02-06 08:00:00,3.1,58.0,0.0,1030.3,2.2,-1.3712193,0.5484486,-0.27782908,2.1373844,-0.50011766,-1.0897031,0.49401945,-0.14341773,1.3655779,-0.5096034,-1.24424,0.82918143,-0.07084486,0.7227377,-0.14635514
2025-02-06 09:00:00,3.6,60.0,0.0,1030.5,2.6,-1.3416238,0.52118206,-0.27013224,2.1334832,-0.49344012,-1.0396168,0.4444962,-0.14254513,1.3836231,-0.49986023,-1.2209898,0.7861171,-0.060189214,0.7572263,-0.12723239
2025-02-06 10:00:00,6.9,55.0,0.0,1030.6,2.6,-1.3011625,0.44328767,-0.26661456,2.158166,-0.46805492,-0.9816027,0.3708707,-0.14268729,1.4563348,-0.5045135,-1.2117672,0.7516091,-0.059270997,0.78399575,-0.10479546
2025-02-06 11:00:00,8.4,50.0,0.0,1030.6,2.8,-1.1143794,0.19875365,-0.2569065,2.1784627,-0.49136385,-0.9298659,0.25453234,-0.1278326,1.535933,-0.4646748,-1.0752994,0.5707639,-0.047635797,0.8580162,-0.10988428
