Time,Position (y)
11.9833,1.54369
12,1.546
12.0167,1.54698
12.0333,1.54648
12.05,1.54624
12.0667,1.54624
12.0833,1.54526
12.1,1.54392
12.1167,1.54316
12.1333,1.54271
12.15,1.54179
12.1667,1.54049
12.1833,1.53919
12.2,1.53808
12.2167,1.53675
12.2333,1.5349
12.25,1.53314
12.2667,1.53166
12.2833,1.52985
12.3,1.52788
12.3167,1.52586
12.3333,1.52349
12.35,1.52114
12.3667,1.51902
12.3833,1.51668
12.4,1.51427
12.4167,1.51525
12.4333,1.51924
12.45,1.52252
12.4667,1.52509
12.4833,1.52695
12.5,1.52818
12.5167,1.52874
12.5333,1.5286
12.55,1.52776
12.5667,1.52622
12.5833,1.524
12.6,1.52379
12.6167,1.52559
12.6333,1.52669
12.65,1.52708
12.6667,1.52678
12.6833,1.52579
12.7,1.52566
12.7167,1.52649
12.7333,1.52695
12.75,1.52727
12.7667,1.52748
12.7833,1.52757
12.8,1.52726
12.8167,1.52697
12.8333,1.52689
12.85,1.52664
12.8667,1.52603
12.8833,1.52529
12.9,1.52439
12.9167,1.52479
12.9333,1.52651
12.95,1.52756
12.9667,1.52791
12.9833,1.52839
13,1.52904
13.0167,1.52954
13.0333,1.5299
13.05,1.53031
13.0667,1.53098
13.0833,1.53152
13.1,1.53208
13.1167,1.53263
13.1333,1.53315
13.15,1.53368
13.1667,1.53422
13.1833,1.53477
13.2,1.53534
13.2167,1.53591
13.2333,1.53645
13.25,1.53697
13.2667,1.53807
13.2833,1.53941
13.3,1.54025
13.3167,1.54082
13.3333,1.54118
13.35,1.54203
13.3667,1.5433
13.3833,1.54439
13.4,1.54543
13.4167,1.54646
13.4333,1.5475
13.45,1.54855
13.4667,1.5496
13.4833,1.55064
13.5,1.55165
13.5167,1.55266
13.5333,1.55372
13.55,1.55449
13.5667,1.55538
13.5833,1.55661
13.6,1.55769
13.6167,1.55871
13.6333,1.55972
13.65,1.56075
13.6667,1.5618
13.6833,1.5629
13.7,1.56403
13.7167,1.5652
13.7333,1.56636
13.75,1.56745
13.7667,1.56849
13.7833,1.56919
13.8,1.57003
13.8167,1.57111
13.8333,1.57203
13.85,1.57303
13.8667,1.57396
13.8833,1.57481
13.9,1.57568
13.9167,1.5766
13.9333,1.57751
13.95,1.57837
13.9667,1.57926
13.9833,1.58019
14,1.58108
14.0167,1.5817
14.0333,1.58267
14.05,1.58458
14.0667,1.58646
14.0833,1.58766
14.1,1.58909
14.1167,1.5908
14.1333,1.59235
14.15,1.59401
14.1667,1.59565
14.1833,1.59727
14.2,1.59887
14.2167,1.60043
14.2333,1.60198
14.25,1.60351
14.2667,1.60503
14.2833,1.60651
14.3,1.60792
14.3167,1.60929
14.3333,1.6106
14.35,1.6119
14.3667,1.61317
14.3833,1.61432
14.4,1.61536
14.4167,1.61601
14.4333,1.61702
14.45,1.61859
14.4667,1.61961
14.4833,1.62074
14.5,1.62218
14.5167,1.62331
14.5333,1.62432
14.55,1.62491
14.5667,1.6255
14.5833,1.62634
14.6,1.62689
14.6167,1.62696
14.6333,1.62704
14.65,1.62733
14.6667,1.62694
14.6833,1.62648
14.7,1.62619
14.7167,1.62557
14.7333,1.62442
14.75,1.62321
14.7667,1.62212
14.7833,1.62045
14.8,1.61842
14.8167,1.61668
14.8333,1.61495
14.85,1.61285
14.8667,1.61021
14.8833,1.60714
14.9,1.60433
14.9167,1.60152
14.9333,1.59828
14.95,1.59469
14.9667,1.59049
14.9833,1.58589
15,1.58159
15.0167,1.57701
15.0333,1.57214
15.05,1.56728
15.0667,1.56173
15.0833,1.55605
15.1,1.55047
15.1167,1.54427
15.1333,1.53793
15.15,1.53163
15.1667,1.52463
15.1833,1.52102
15.2,1.52071
15.2167,1.5194
15.2333,1.52201
15.25,1.52841
15.2667,1.53318
15.2833,1.5367
15.3,1.5405
15.3167,1.5441
15.3333,1.5464
15.35,1.54743
15.3667,1.5478
15.3833,1.54772
15.4,1.5468
15.4167,1.5451
15.4333,1.54255
15.45,1.53916
15.4667,1.53462
15.4833,1.52954
15.5,1.52411
15.5167,1.51768
15.5333,1.51396
15.55,1.51349
15.5667,1.514
15.5833,1.5147
15.6,1.514
15.6167,1.51424
15.6333,1.51556
15.65,1.51599
15.6667,1.51562
15.6833,1.51507
15.7,1.51439
15.7167,1.51416
15.7333,1.51505
15.75,1.51541
15.7667,1.515
15.7833,1.5141
15.8,1.51223
15.8167,1.51157
15.8333,1.51216
15.85,1.51196
15.8667,1.51168
15.8833,1.51163
15.9,1.51148
15.9167,1.51128
15.9333,1.51108
15.95,1.51088
15.9667,1.51068
15.9833,1.51048
16,1.51026
16.0167,1.51004
16.0333,1.50981
16.05,1.50958
16.0667,1.50935
16.0833,1.50911
16.1,1.50888
16.1167,1.50865
16.1333,1.50842
16.15,1.50817
16.1667,1.50792
16.1833,1.50767
16.2,1.50741
16.2167,1.50716
16.2333,1.50691
16.25,1.50666
16.2667,1.50643
16.2833,1.5062
16.3,1.50597
16.3167,1.50577
16.3333,1.5056
16.35,1.50542
16.3667,1.50526
16.3833,1.50511
16.4,1.50498
16.4167,1.50485
16.4333,1.50474
16.45,1.50465
16.4667,1.50457
16.4833,1.5045
16.5,1.50445
16.5167,1.50441
16.5333,1.50439
16.55,1.50439
16.5667,1.5044
16.5833,1.50442
16.6,1.50446
16.6167,1.50452
16.6333,1.50458
16.65,1.50467
16.6667,1.50476
16.6833,1.50487
16.7,1.50499
16.7167,1.50514
16.7333,1.5053
16.75,1.50546
16.7667,1.50563
16.7833,1.50581
16.8,1.50599
16.8167,1.50618
16.8333,1.50637
16.85,1.50656
16.8667,1.50675
16.8833,1.50694
16.9,1.50712
16.9167,1.5073
16.9333,1.50748
16.95,1.50766
16.9667,1.50786
16.9833,1.50806
17,1.50826
17.0167,1.50846
17.0333,1.50867
17.05,1.50888
17.0667,1.50909
17.0833,1.50929
17.1,1.50948
17.1167,1.50965
17.1333,1.50982
17.15,1.50997
17.1667,1.51018
17.1833,1.51041
17.2,1.51061
17.2167,1.5108
17.2333,1.51098
17.25,1.51113
17.2667,1.51128
17.2833,1.5115
17.3,1.51176
17.3167,1.51201
17.3333,1.51224
17.35,1.51245
17.3667,1.51274
17.3833,1.51307
17.4,1.51303
17.4167,1.51314
17.4333,1.51362
17.45,1.51397
17.4667,1.51435
17.4833,1.51475
17.5,1.51512
17.5167,1.51552
17.5333,1.51598
17.55,1.51639
17.5667,1.51677
17.5833,1.51722
17.6,1.51773
17.6167,1.5182
17.6333,1.51833
17.65,1.51873
17.6667,1.51958
17.6833,1.52022
17.7,1.52081
17.7167,1.52145
17.7333,1.52217
17.75,1.52284
17.7667,1.52359
17.7833,1.52437
17.8,1.52479
17.8167,1.52537
17.8333,1.52628
17.85,1.52714
17.8667,1.5281
17.8833,1.52901
17.9,1.52995
17.9167,1.53092
17.9333,1.53187
17.95,1.53276
17.9667,1.53371
17.9833,1.53471
18,1.53568
18.0167,1.53661
18.0333,1.53761
18.05,1.53868
18.0667,1.53974
18.0833,1.54079
18.1,1.54192
18.1167,1.54311
18.1333,1.54411
18.15,1.5446
18.1667,1.54519
18.1833,1.54612
18.2,1.54692
18.2167,1.54774
18.2333,1.54859
18.25,1.54955
18.2667,1.55062
18.2833,1.55173
18.3,1.55291
18.3167,1.55415
18.3333,1.55544
18.35,1.55677
18.3667,1.55814
18.3833,1.55959
18.4,1.56116
18.4167,1.56285
18.4333,1.56464
18.45,1.56654
18.4667,1.56851
18.4833,1.57052
18.5,1.57256
18.5167,1.57467
18.5333,1.57688
18.55,1.57915
18.5667,1.58142
18.5833,1.58369
18.6,1.58596
18.6167,1.58822
18.6333,1.59048
18.65,1.59276
18.6667,1.59506
18.6833,1.59736
18.7,1.59969
18.7167,1.60208
18.7333,1.60455
18.75,1.60703
18.7667,1.60943
18.7833,1.61175
18.8,1.61403
18.8167,1.61632
18.8333,1.61794
18.85,1.61977
18.8667,1.62274
18.8833,1.62556
18.9,1.6282
18.9167,1.63057
18.9333,1.63289
18.95,1.63542
18.9667,1.63733
18.9833,1.63919
19,1.6412
19.0167,1.64284
19.0333,1.64441
19.05,1.64559
19.0667,1.64637
19.0833,1.64747
19.1,1.6486
19.1167,1.64932
19.1333,1.64979
19.15,1.64974
19.1667,1.64922
19.1833,1.64885
19.2,1.64842
19.2167,1.64754
19.2333,1.64635
19.25,1.6443
19.2667,1.6421
19.2833,1.64013
19.3,1.63758
19.3167,1.63466
19.3333,1.63084
19.35,1.62666
19.3667,1.62287
19.3833,1.61875
19.4,1.61385
19.4167,1.60864
19.4333,1.60304
19.45,1.59698
19.4667,1.59053
19.4833,1.58344
19.5,1.57607
19.5167,1.56858
19.5333,1.56057
19.55,1.55212
19.5667,1.54347
19.5833,1.53426
19.6,1.52893
19.6167,1.52761
19.6333,1.52557
19.65,1.52259
19.6667,1.51819
19.6833,1.51869
19.7,1.52511
19.7167,1.53092
19.7333,1.53541
19.75,1.53855
19.7667,1.54126
19.7833,1.54345
19.8,1.54473
19.8167,1.54478
19.8333,1.54414
19.85,1.54319
19.8667,1.54122
19.8833,1.53842
19.9,1.5347
19.9167,1.53016
19.9333,1.52455
19.95,1.51812
19.9667,1.51422
19.9833,1.51246
20,1.51191
20.0167,1.51245
20.0333,1.51166
20.05,1.50986
20.0667,1.50957
20.0833,1.51036
20.1,1.51004
20.1167,1.50942
20.1333,1.50978
20.15,1.51057
20.1667,1.51139
20.1833,1.51222
20.2,1.51176
20.2167,1.51046
20.2333,1.50973
20.25,1.50973
20.2667,1.50961
20.2833,1.50987
20.3,1.51038
20.3167,1.51016
20.3333,1.51024
20.35,1.51046
20.3667,1.51057
20.3833,1.51092
20.4,1.51104
20.4167,1.51103
20.4333,1.51115
20.45,1.51115
20.4667,1.51115
20.4833,1.51135
20.5,1.51141
20.5167,1.51144
20.5333,1.51145
20.55,1.51145
20.5667,1.51144
20.5833,1.51143
20.6,1.51141
20.6167,1.51138
20.6333,1.51136
20.65,1.51134
20.6667,1.51133
20.6833,1.51132
20.7,1.51133
20.7167,1.51134
20.7333,1.51137
20.75,1.51142
20.7667,1.51149
20.7833,1.51157
20.8,1.51167
20.8167,1.51179
20.8333,1.51193
20.85,1.5121
20.8667,1.51229
20.8833,1.51251
20.9,1.51276
20.9167,1.51303
20.9333,1.51333
20.95,1.51367
20.9667,1.51404
20.9833,1.51445
21,1.51491
21.0167,1.5154
21.0333,1.51593
21.05,1.51653
21.0667,1.51718
21.0833,1.51786
21.1,1.51858
21.1167,1.51934
21.1333,1.52012
21.15,1.52094
21.1667,1.52179
21.1833,1.52269
21.2,1.52363
21.2167,1.5246
21.2333,1.52559
21.25,1.52661
21.2667,1.52763
21.2833,1.52867
21.3,1.52974
21.3167,1.53084
21.3333,1.53196
21.35,1.5331
21.3667,1.53426
21.3833,1.53544
21.4,1.53664
21.4167,1.53783
21.4333,1.53903
21.45,1.54023
21.4667,1.54143
21.4833,1.54262
21.5,1.54384
21.5167,1.54509
21.5333,1.54633
21.55,1.54757
21.5667,1.54878
21.5833,1.54999
21.6,1.55119
21.6167,1.55237
21.6333,1.55361
21.65,1.55458
21.6667,1.55568
21.6833,1.55711
21.7,1.5584
21.7167,1.55972
21.7333,1.56106
21.75,1.56234
21.7667,1.56357
21.7833,1.56447
21.8,1.56563
21.8167,1.56721
21.8333,1.56858
21.85,1.56995
21.8667,1.57131
21.8833,1.57256
21.9,1.57374
21.9167,1.57498
21.9333,1.57625
21.95,1.57743
21.9667,1.57867
21.9833,1.57999
22,1.58097
22.0167,1.58223
22.0333,1.58459
22.05,1.58715
22.0667,1.58911
22.0833,1.59043
22.1,1.59243
22.1167,1.59518
22.1333,1.59765
22.15,1.60009
22.1667,1.6025
22.1833,1.60488
22.2,1.60722
22.2167,1.60957
22.2333,1.61193
22.25,1.61427
22.2667,1.61656
22.2833,1.61885
22.3,1.62082
22.3167,1.6229
22.3333,1.62523
22.35,1.62696
22.3667,1.62899
22.3833,1.63151
22.4,1.63371
22.4167,1.6357
22.4333,1.63717
22.45,1.63864
22.4667,1.6403
22.4833,1.6413
22.5,1.6424
22.5167,1.64377
22.5333,1.64446
22.55,1.64505
22.5667,1.64574
22.5833,1.64606
22.6,1.64581
22.6167,1.6454
22.6333,1.64481
22.65,1.64371
22.6667,1.64277
22.6833,1.64175
22.7,1.63997
22.7167,1.63767
22.7333,1.63545
22.75,1.63311
22.7667,1.63035
22.7833,1.62722
22.8,1.62342
22.8167,1.61908
22.8333,1.61487
22.85,1.61051
22.8667,1.60529
22.8833,1.59946
22.9,1.59372
22.9167,1.58778
22.9333,1.58069
22.95,1.57315
22.9667,1.56588
22.9833,1.55819
23,1.54983
23.0167,1.54121
23.0333,1.5324
23.05,1.52276
23.0667,1.51746
23.0833,1.51657
23.1,1.51451
23.1167,1.51716
23.1333,1.52468
23.15,1.53059
23.1667,1.53518
23.1833,1.53958
23.2,1.54344
23.2167,1.54597
23.2333,1.54717
23.25,1.547
23.2667,1.5463
23.2833,1.54518
23.3,1.54247
23.3167,1.53901
23.3333,1.53504
23.35,1.53011
23.3667,1.5273
23.3833,1.52861
23.4,1.53104
23.4167,1.53223
23.4333,1.53249
23.45,1.53155
23.4667,1.52978
23.4833,1.52739
23.5,1.52402
23.5167,1.52213
23.5333,1.52156
23.55,1.52007
23.5667,1.51798
23.5833,1.51529
23.6,1.51308
23.6167,1.5111
23.6333,1.50853
23.65,1.50861
23.6667,1.51097
23.6833,1.51268
23.7,1.51367
23.7167,1.51395
23.7333,1.5136
23.75,1.51231
23.7667,1.51219
23.7833,1.51346
23.8,1.5139
23.8167,1.51366
23.8333,1.51372
23.85,1.51405
23.8667,1.51478
23.8833,1.51592
23.9,1.51636
23.9167,1.5161
23.9333,1.51558
23.95,1.51547
23.9667,1.51579
23.9833,1.51625
24,1.51636
24.0167,1.51651
24.0333,1.51695
24.05,1.51723
24.0667,1.51745
24.0833,1.51732
24.1,1.51733
24.1167,1.51771
24.1333,1.51789
24.15,1.51766
24.1667,1.51749
