,mean,std
guadalajara_relative_humidity_2m (%),60.41321701448284,24.47603118321201
guadalajara_rain (mm),0.0577645683658342,0.32559709120937314
guadalajara_surface_pressure (hPa),934.531538658912,5.827524180213302
guadalajara_wind_speed_10m (km/h),9.419651613638957,5.558181213499146
guadalajara_wind_direction_10m (°),156.88902668491275,98.10097226532037
guadalajara_hour_sin,-1.810490278496948e-17,0.7071118210595448
guadalajara_hour_cos,-5.551115123125783e-17,0.7071118210595448
guadalajara_dow_sin,0.00033353674723974176,0.7071535934165972
guadalajara_dow_cos,0.0006925961921864856,0.7070696283519778
burgos_temperature_2m (°C),11.580074694948113,7.574659401288089
burgos_relative_humidity_2m (%),72.44767077203787,21.773472457450055
burgos_rain (mm),0.06575578743300262,0.30021363265279977
