Time,x,y,omega
408.2,-2.0226113333333333,1.510115333333333,-0.3846488
408.217,-2.0258413333333336,1.5102693333333335,-0.38678399999999996
408.233,-2.029134,1.510442,-0.3896231333333333
408.25,-2.032486,1.5106353333333333,-0.3924662666666666
408.267,-2.035892,1.5108513333333335,-0.3947906666666667
408.283,-2.0393466666666664,1.5110906666666668,-0.39749519999999994
408.3,-2.0428473333333335,1.5113546666666666,-0.40043219999999996
408.317,-2.046389333333333,1.5116446666666665,-0.4032109333333333
408.333,-2.0499673333333335,1.511962,-0.4061655333333334
408.35,-2.0535773333333336,1.512308,-0.4086186666666667
408.367,-2.0572106666666667,1.5126813333333333,-0.4105814666666667
408.383,-2.0608606666666667,1.5130839999999999,-0.41235646666666664
408.4,-2.0645226666666665,1.513516,-0.4143793333333334
408.417,-2.0681933333333333,1.5139773333333333,-0.4165918
408.433,-2.0718693333333333,1.5144693333333334,-0.41904793333333334
408.45,-2.075546666666667,1.5149926666666669,-0.4217708666666667
408.467,-2.079219333333333,1.515546,-0.4235791333333333
408.483,-2.0828786666666668,1.5161286666666665,-0.4251205333333334
408.5,-2.086520666666667,1.5167393333333334,-0.4263267333333333
408.517,-2.09014,1.5173773333333331,-0.427491
408.533,-2.093734,1.5180413333333331,-0.4286175333333333
408.55,-2.0972980000000003,1.5187313333333334,-0.42974613333333334
408.567,-2.10083,1.5194466666666666,-0.4310525333333333
408.583,-2.1043266666666667,1.5201859999999998,-0.4320965333333333
408.6,-2.1077833333333333,1.5209473333333332,-0.4331557333333333
408.617,-2.1111973333333336,1.521731333333333,-0.43449706666666665
408.633,-2.114566,1.5225353333333334,-0.4354365333333334
408.65,-2.117882666666667,1.5233579999999998,-0.4358184666666666
408.667,-2.121142,1.5241966666666669,-0.436017
408.683,-2.1243393333333334,1.5250493333333333,-0.4356526
408.7,-2.127469333333333,1.5259153333333333,-0.4350766666666666
408.717,-2.130528,1.5267946666666665,-0.4341693333333333
408.733,-2.1335113333333333,1.527684,-0.4323401333333333
408.75,-2.1364140000000003,1.5285806666666666,-0.43024046666666665
408.767,-2.139234666666667,1.5294826666666668,-0.4284558666666667
408.783,-2.141972,1.5303893333333334,-0.42648199999999997
408.8,-2.1446246666666666,1.5312986666666666,-0.42459273333333336
408.817,-2.1471913333333332,1.5322086666666668,-0.42274446666666665
408.833,-2.1496706666666667,1.5331180000000002,-0.42102660000000003
408.85,-2.1520613333333336,1.5340253333333334,-0.419275
408.867,-2.1543599999999996,1.5349306666666669,-0.4168238
408.883,-2.156569333333333,1.5358166666666666,-0.41556279999999995
408.9,-2.1586939999999997,1.5366933333333332,-0.415267
408.917,-2.160734666666667,1.5375853333333331,-0.41482606666666666
408.933,-2.1626926666666666,1.538482,-0.4150350666666667
408.95,-2.1645706666666666,1.5393793333333332,-0.4154158
408.967,-2.166367333333333,1.5402726666666666,-0.4153266
408.983,-2.1680806666666665,1.5411646666666667,-0.4155379333333334
409.0,-2.1697113333333333,1.5420573333333334,-0.41592860000000004
409.017,-2.1712580000000004,1.5429473333333332,-0.41552433333333333
409.033,-2.1727146666666663,1.5438306666666668,-0.41367393333333335
409.05,-2.174076,1.5447033333333335,-0.4112212
409.067,-2.1753393333333335,1.5455693333333334,-0.4086189333333333
409.083,-2.1765093333333336,1.546412,-0.4064604
409.1,-2.1775886666666664,1.5472413333333332,-0.4046557333333333
409.117,-2.1785786666666667,1.5480766666666665,-0.4029768666666666
409.133,-2.179474,1.5489226666666667,-0.3995402
409.15,-2.1802699999999997,1.5497686666666666,-0.39531526666666666
409.167,-2.1809719999999997,1.5505953333333335,-0.39293253333333333
409.183,-2.181588666666667,1.551416,-0.39211753333333327
409.2,-2.182124,1.5522326666666666,-0.3908814666666667
409.217,-2.18258,1.5530526666666666,-0.3904428
409.233,-2.1829639999999997,1.5538793333333334,-0.3912219333333333
409.25,-2.1832826666666665,1.5546879999999998,-0.3919415333333333
409.267,-2.1835400000000003,1.5554913333333333,-0.3937675333333333
409.283,-2.183744,1.5563159999999998,-0.3974876
409.3,-2.1839033333333333,1.557164,-0.40176306666666667
409.317,-2.184025333333333,1.5580393333333333,-0.40721653333333335
409.333,-2.184112,1.5589613333333332,-0.4130523333333334
409.35,-2.184172666666667,1.5599293333333333,-0.42156940000000004
